,index,Unnamed: 0,Close,High,Low,Open,Volume,date,weekday,month,c-o,candle,cashopen,cash,action,diff,quantity
0,0,0,6082.299805,6094.350098,6065.100098,6085.75,130900,21-01-2013,0,1,-0.05669301236495665,2,0.0,0.0,,,
1,1,1,6048.5,6101.299805,6040.5,6080.149902,129000,22-01-2013,1,1,-0.5205447646872853,1,60801.49902,61117.998040000006,short,316.4990200000011,-10.0
2,2,2,6054.299805,6069.799805,6021.149902,6052.850098,137000,23-01-2013,2,1,0.023950816169704556,3,61117.998040000006,61132.49511,long,14.49706999999762,10.0
3,3,3,6019.350098,6065.299805,6007.850098,6046.200195,185200,24-01-2013,3,1,-0.44408216952863333,2,61132.49511,61400.99608000001,short,268.5009700000046,-10.0
4,4,4,6074.649902,6080.549805,6014.450195,6024.5,147600,25-01-2013,4,1,0.8324326002157875,4,61400.99608000001,60899.49706000001,short,-501.4990200000011,-10.0
5,5,5,6074.799805,6088.399902,6061.399902,6082.100098,113100,28-01-2013,0,1,-0.12002914918156017,2,60899.49706000001,60972.49999000001,short,73.00293000000238,-10.0
6,6,6,6049.899902,6111.799805,6042.450195,6064.700195,157600,29-01-2013,1,1,-0.2440399776431197,2,60972.49999000001,61120.50292000001,short,148.00293000000238,-10.0
7,7,7,6055.75,6071.950195,6044.149902,6065.0,124200,30-01-2013,2,1,-0.15251442704039572,2,61120.50292000001,61213.00292000001,short,92.5,-10.0
8,8,8,6034.75,6058.049805,6025.149902,6045.649902,168500,31-01-2013,3,1,-0.18029330471806257,2,61213.00292000001,61322.00194000002,short,108.99902000000111,-10.0
9,9,9,5998.899902,6052.950195,5983.200195,6040.950195,159300,01-02-2013,4,2,-0.6960873975555137,1,61322.00194000002,61742.50487000002,short,420.5029300000024,-10.0
10,10,10,5987.25,6038.5,5981.25,6025.200195,141700,04-02-2013,0,2,-0.6298578266576642,1,61742.50487000002,61363.00292000001,long,-379.5019500000035,10.0
11,11,11,5956.899902,5970.350098,5946.899902,5948.200195,136200,05-02-2013,1,2,0.14625780429032384,3,61363.00292000001,61449.99999000001,long,86.99706999999762,10.0
12,12,12,5959.200195,5990.899902,5953.149902,5988.049805,157800,06-02-2013,2,2,-0.48178640691849256,2,61449.99999000001,61738.49609,short,288.496099999993,-10.0
13,13,13,5938.799805,5978.5,5927.600098,5936.450195,157600,07-02-2013,3,2,0.039579376947831056,3,61738.49609,61714.99999000001,short,-23.49609999999302,-10.0
14,14,14,5903.5,5953.700195,5883.649902,5929.100098,192600,08-02-2013,4,2,-0.43177037960002224,2,61714.99999000001,61971.00097000001,short,256.0009799999989,-10.0
15,15,15,5897.850098,5924.149902,5879.100098,5920.049805,122000,11-02-2013,0,2,-0.37499189586631804,2,61971.00097000001,62192.998040000006,short,221.99706999999762,-10.0
16,16,16,5922.5,5927.649902,5886.450195,5894.350098,142800,12-02-2013,1,2,0.4775743132317776,3,62192.998040000006,61911.49902,short,-281.4990200000011,-10.0
17,17,17,5932.950195,5969.5,5922.950195,5943.149902,142600,13-02-2013,2,2,-0.171621230630029,2,61911.49902,62013.49609,short,101.99706999999762,-10.0
18,18,18,5896.950195,5940.200195,5884.549805,5933.200195,143800,14-02-2013,3,2,-0.6109687657353688,1,62013.49609,62375.99609,short,362.5,-10.0
19,19,19,5887.399902,5899.950195,5853.899902,5869.950195,125100,15-02-2013,4,2,0.2972718067499679,3,62375.99609,62550.49316,long,174.49706999999762,10.0
20,20,20,5898.200195,5911.0,5878.450195,5888.649902,114300,18-02-2013,0,2,0.16218136854691617,3,62550.49316,62454.990229999996,short,-95.50293000000238,-10.0
21,21,21,5939.700195,5947.549805,5883.149902,5900.200195,101000,19-02-2013,1,2,0.6694688094392702,4,62454.990229999996,62059.990229999996,short,-395.0,-10.0
22,22,22,5943.049805,5971.0,5937.549805,5966.299805,135400,20-02-2013,2,2,-0.3896887645591588,2,62059.990229999996,62292.490229999996,short,232.5,-10.0
23,23,23,5852.25,5921.149902,5844.399902,5909.649902,159400,21-02-2013,3,2,-0.971291073953032,1,62292.490229999996,62866.48925,short,573.9990200000011,-10.0
24,24,24,5850.299805,5873.799805,5835.799805,5837.950195,157000,22-02-2013,4,2,0.21154017399080094,3,62866.48925,62989.985349999995,long,123.49609999999302,10.0
25,25,25,5854.75,5878.399902,5825.0,5870.549805,125100,25-02-2013,0,2,-0.2691367167440231,2,62989.985349999995,63147.98339999999,short,157.9980499999965,-10.0
26,26,26,5761.350098,5838.850098,5748.600098,5838.299805,157400,26-02-2013,1,2,-1.3180156821357303,0,63147.98339999999,63917.48046999999,short,769.4970699999976,-10.0
27,27,27,5796.899902,5818.200195,5749.700195,5784.899902,175200,27-02-2013,2,2,0.2074366057025683,3,63917.48046999999,63785.48046999999,short,-132.0,-11.0
28,28,28,5693.049805,5849.899902,5671.899902,5834.350098,334900,28-02-2013,3,2,-2.4218685993567237,0,63785.48046999999,65198.48339999999,short,1413.0029300000024,-10.0
